Title,Description,Department,Levels,Class Quota,Waitlist Maximum,Instructor,CRN,Time,Days,Date,Where,Course Type,Method,Credit Hours
['AC 401 - Senior Project I'],"['The third of the four-course project design series. In this intermediate course, students learn the importance of the voice of the customer, the customer/product market fit through using the business model canvas, and engineering design tools. Students learn and practice customer interview techniques and, through the feedback, help to develop appropriate solutions and prototypes. Students perform individual observations to discover unmet needs in industry and, after refining the needs, teams form to solve these needs. Comprehensively covers the student’s concentration in applied computing and its applications. Students work with faculty and external consultants and industry to refine their team based senior project. Prerequisite(s): AC 301 and PHYS 213. Pre- or corequisite(s): PHIL 354.']",School of Computing,Undergraduate,35,5,Joseph M Jabara (P),14705,09:30 AM - 12:15 PM,F,8/19/2024-12/12/2024,Main Campus Ahlberg Hall 200,Lecture,TCI,3
['AC 461 - Digital Forensics'],"[""Covers concepts related to hardware and software forensics, incident response, cyber crime and cyber law enforcement. Students learn different aspects of computer and cyber crime and ways to uncover, protect, exploit and document digital evidence. Students are exposed to different types of tools (both software and hardware), techniques and procedures, and are able to use them to perform rudimentary forensic investigations. Focuses on the entire life cycle of incident response including preparation, data collection, data analysis and remediation. Real world case studies reveal the methods behind and remediation strategies for today's most insidious attacks. Prerequisite(s): AC 326 .""]",School of Computing,Undergraduate,24,5,Thomas Scott Ensz (P),14674,03:15 PM - 04:30 PM,MW,8/19/2024-12/12/2024,Main Campus Engineering Building 122,Lecture,HYB1,3
['AC 463 - Cyber Risk Management'],"['This course covers application of risk and information security management to improve organizational resilience. Concepts include business impact analysis, incident response planning, disaster recovery planning, business continuity planning and security auditing. Prerequisite(s): AC 326.']",School of Computing,Undergraduate,24,5,Thomas Scott Ensz (P),14675,01:45 PM - 03:00 PM,MW,8/19/2024-12/12/2024,Main Campus Engineering Building 122,Lecture,HYB1,3
['AC 668 - Geopolitical Strategy in Cyber'],"[""Geopolitical strategy drives the actions of nation-states, and cyber is a large part of the engine, increasingly so with advances in technology and its interoperability with other instruments of power. From disinformation to satellite hacks to current use of artificial intelligence, the course examines how history has shaped the cyber strategy in regions of the world, what the current state of affairs are in selected countries, and what the future may hold in this ever changing dynamic. This course is for students who are a current or otherwise eligible SFS Scholar, residing or planning to reside within commuting distance of WSU, and a U.S. citizen due to NSA and CAE standards. Students who have a desire to work at some level of government in the U.S. may also be eligible to take this course. Prerequisite(s): instructor's consent.""]",School of Computing,Undergraduate and Graduate,10,0,Joseph M Jabara (P),17345,06:00 PM - 07:15 PM,TR,8/19/2024-12/12/2024,Main Campus Jabara Hall 126,Lecture,TCI,3
['ACCT 210 - Financial Accounting'],['Studies accounting as a means of communicating financial information about the activities of business enterprises. Emphasizes concepts and principles underlying the measurement of income and financial position and how this information may be used to evaluate the progress of a firm. This is a Kansas Systemwide Transfer Course. Prerequisite(s): MATH 111 and BADM 162.'],Accounting,Undergraduate,120,20,Jeffrey J Quirin (P),10944,11:00 AM - 12:15 PM,TR,8/19/2024-12/12/2024,Main Campus Woolsey Hall 110A,Lecture,HYB1,3
['ACCT 220 - Managerial Accounting'],"[""Studies accounting in terms of management's information requirements. Emphasizes the use of accounting information to assist management in planning, analyzing and implementing business decisions and activities. This is a Kansas Systemwide Transfer Course. Prerequisite(s): ACCT 210, MATH 111 and BADM 162.""]",Accounting,Undergraduate,100,20,Christine Marie Porter (P),10277,11:00 AM - 12:15 PM,MW,8/19/2024-12/12/2024,Main Campus Woolsey Hall 134,Lecture,HYB1,3
['ACCT 310 - Intermediate Financial Acct I'],"['In-depth study of the conceptual and technical aspects of financial accounting. Emphasizes recognition and measurement problems of income determination and balance sheet presentation. Covers asset accounting in depth. Prerequisite(s): completion of ACCT 210 with a minimum grade of B- (2.700), ACCT 220 with a minimum grade of C+ (2.300), MATH 111, MATH 144, BADM 162, ECON 201 and ECON 202.']",Accounting,Undergraduate,40,20,Patricia  O'Sullivan (P),10281,12:30 PM - 01:45 PM,TR,8/19/2024-12/12/2024,Main Campus Woolsey Hall 234,Lecture,HYB1,3
['ACCT 360 - Accounting Information Systems'],"['Studies accounting information systems, emphasizing the processing of financial transactions and the analysis of internal controls. Students with credit in ACCT 560 cannot take ACCT 360 for credit. Prerequisite(s): completion of ACCT 210 with a minimum grade of B- (2.700), ACCT 220 with a minimum grade of C+ (2.300), MATH 111, MATH 144, BADM 162, ECON 201 and ECON 202. Pre- or corequisite(s): ACCT 310.']",Accounting,Undergraduate,40,20,Liu  Yang (P),13551,11:00 AM - 01:30 PM,W,8/19/2024-12/12/2024,Main Campus Woolsey Hall 220,Lecture,HYB1,3
['ACCT 410 - Intermediate Financial Acct II'],"[""Continuation of ACCT 310. Emphasizes liabilities and equity. A study of accounting practices and problems related to equities with an introduction to some of the financial accounting pronouncements of the Financial Accounting Standards Board concerning equity accounting. It covers the following topics: liabilities, income taxes, stockholders' equity, accounting changes, pensions, postretirement, leases, earnings per share and cash flow statement. Prerequisite(s): ACCT 310.""]",Accounting,Undergraduate,40,20,Michael B Flores (P),12736,09:30 AM - 10:45 AM,MW,8/19/2024-12/12/2024,Main Campus Woolsey Hall 135,Lecture,HYB1,3
['ACCT 420 - Cost Accounting'],['The use of accounting information to assist management in developing and identifying superior strategies to produce and sustain comparative and/or competitive advantages. Focuses on goal-congruent strategies and incentives.  Students with credit in ACCT 620 cannot take ACCT 420 for credit. Prerequisite(s):  ACCT 310.'],Accounting,Undergraduate,40,20,Patricia  O'Sullivan (P),13553,11:00 AM - 12:15 PM,TR,8/19/2024-12/12/2024,Main Campus Woolsey Hall 234,Lecture,HYB1,3
['ACCT 430 - Intro Federal Income Tax'],['Overview of the federal tax law and those laws specifically applicable to individuals and sole proprietors. Prerequisite(s): ACCT 310.'],Accounting,Undergraduate,40,20,Sina  Rahiminejad Ranjbar (P),11883,TBA,TBA,8/19/2024-12/12/2024,Online ONLINE,Lecture,OLA,3
['ACCT 481 - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Repeatable for credit. Prerequisite(s): junior standing and 2.250 GPA.""]",Accounting,Undergraduate,10,10,Christine Marie Porter (P),10283,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Appointment Course,CPI,1
['ACCT 481N - Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Accounting,Undergraduate,10,10,Christine Marie Porter (P),10287,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Appointment Course,CPI,1
['ACCT 491 - Independent Study/Project'],"['Courses may be of two general types. The first consists of doing research, readings or other scholarly investigation in a subject area that is coordinated by a faculty member. The topic and scope would be mutually agreeable to the student and the faculty member. The second consists of doing a specific project for an organization, which might require the student to do research. The student may be embedded in an organization (either with or without pay) and under the direction of an organizational representative and a faculty member in order to accomplish a specific project. In either case, the course cannot be used to substitute for a regular departmental course. Repeatable for credit. Prerequisite(s): 2.750 GPA in accounting, junior standing, advanced standing, School of Accountancy consent.']",Accounting,Undergraduate,10,10,Christine Marie Porter (P),13303,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Appointment Course,CPI,3
['ACCT 580 - Data Analytics for Accountants'],"[""Application-oriented study of data analytics as it pertains to accounting professionals. Emphasizes improving students' software, critical thinking and decision-making skills. Prerequisite(s): ACCT 360, ECON 231 and ECON 232.""]",Accounting,Undergraduate and Graduate,50,20,Aisha  Meeks (P),14025,TBA,TBA,8/19/2024-12/12/2024,Online ONLINE,Lecture,OLA,3
['ACCT 610 - Advanced Financial Accounting'],"['Examines accounting concepts and techniques related to consolidated statements, governmental and not-for-profit entities, and partnerships. Includes accounting for foreign currency, hedges, financial instruments and emerging issues in financial accounting and reporting. Prerequisite(s): ACCT 410 and junior standing.']",Accounting,Undergraduate and Graduate,40,20,Michael B Flores (P),11252,07:05 PM - 09:45 PM,W,8/19/2024-12/12/2024,Main Campus Woolsey Hall 234,Lecture,HYB1,3
['ACCT 630 - Taxation of Business Entities'],"['Studies the federal tax law as it applies to corporations, partnerships and other business entities. Examines the effect of taxation on business decisions. Prerequisite(s): ACCT 430 and junior standing.']",Accounting,Undergraduate and Graduate,40,20,Sina  Rahiminejad Ranjbar (P),15785,TBA,TBA,8/19/2024-12/12/2024,Online ONLINE,Lecture,OLA,3
['ACCT 640 - Principles of Auditing'],"[""Studies the auditor's attest function, emphasizing auditing standards and procedures, independence, legal responsibilities, codes of ethical conduct, and evaluation of accounting systems and internal control. Prerequisite(s): ACCT 410, ACCT 580 and junior standing.""]",Accounting,Undergraduate and Graduate,40,20,Laura Michelle Zellers (P),15786,TBA,TBA,8/19/2024-12/12/2024,Online ONLINE,Lecture,OLA,3
['ACCT 781 - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Repeatable for credit up to 3 hours. May not be used to fulfill degree requirements.""]",Accounting,Undergraduate and Graduate,10,10,Michael B Flores (P),10290,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Appointment Course,CPI,1
['ACCT 801 - Managerial Accounting'],"['Examines the use of accounting information to assist management in planning, analyzing, and implementing business decisions and activities. Focuses on strategic and operational performance analysis and evaluation. Not available for credit in the Master of Accountancy program. Prerequisite(s): graduate standing and MBA 800 or equivalent, or permission of the School of Accountancy.']",Accounting,Graduate,40,20,Tena  Mason (P),13172,TBA,TBA,8/19/2024-12/12/2024,Online ONLINE,Lecture,OLA,3
['ACCT 815 - Fin Acct Contemp Issue'],"['Uses the case method and financial accounting databases to examine and analyze the application of generally accepted accounting principles to problems of measurement, presentation and disclosure in financial statements. Focuses on contemporary topics of interest in financial accounting and reporting. Prerequisite(s): graduate standing and ACCT 610 or equivalent, or permission of the School of Accountancy.']",Accounting,Graduate,20,10,Jeffrey J Quirin (P),11147,07:05 PM - 09:45 PM,T,8/19/2024-12/12/2024,Main Campus Woolsey Hall 323,Lecture,HYB1,3
['ACCT 835 - Tax Research & Selected Topics'],"['In-depth study of traditional and computerized tax research and planning techniques, ethical issues, tax practice issues, and introduces state, multistate and international taxation. Prerequisite(s): graduate standing and ACCT 630 (or equivalent), or permission of the School of Accountancy.']",Accounting,Graduate,20,10,Christopher Ryan Nance (P),11261,07:05 PM - 09:45 PM,W,8/19/2024-12/12/2024,Main Campus Woolsey Hall 323,Lecture,HYB1,3
['ACCT 840 - Advanced Auditing'],"['Advanced study of auditing emphasizing auditing computerized systems, statistical sampling, and ethics. Prerequisite(s): graduate standing and ACCT 410 and 640 (or equivalent), or permission of the School of Accountancy.']",Accounting,Graduate,20,10,Dean M White (P),10545,07:05 PM - 09:45 PM,M,8/19/2024-12/12/2024,Main Campus Woolsey Hall 333,Lecture,HYB1,3
['ACCT 891 - Directed Study in Accounting'],['Arranged individual directed study in specialized content areas under the supervision of a faculty member. Repeatable for up to 6 credit hours. Prerequisite(s): School of Accountancy consent.'],Accounting,Graduate,10,10,Michael B Flores (P),10291,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Appointment Course,CPI,3
['ACCT 892 - Internship in Accounting'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): 3.000 GPA in accounting, graduate standing, School of Accountancy consent.""]",Accounting,Graduate,20,0,Michael B Flores (P),10292,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Experiential,CPI,3
['AE 223 - Statics'],"['Studies the condition of equilibrium of rigid bodies under the action of forces. Rigid bodies include beams, trusses, frames and machines. Considers both two- and three-dimensional bodies. Also studies centroids, centers of gravity and moments of inertia. Prerequisite(s): PHYS 313. Pre- or corequisite(s): MATH 243.']",Aerospace Engineering,Undergraduate,45,5,Alok Nath Menon (P),12028,11:00 AM - 12:15 PM,MW,8/19/2024-12/12/2024,Main Campus Engineering Building 202,Lecture,TCI,3
['AE 227 - Engr Digital Computation'],"['MATLAB and Visual-Basic programming; introduces linear algebra and matrix methods for engineers, selected numerical methods for approximating functions, solution of systems of equations, numerical integration, and numerical determination of the roots of polynomials. Prerequisite(s): MATH 242 with no grade lower than one that generates 2.000 or more credit points per credit hour. Pre- or corequisite(s): MATH 243. Corequisite(s): AE 227L.']",Aerospace Engineering,Undergraduate,100,5,Anthony J Vizzini (P),13353,TBA,TBA,8/19/2024-12/12/2024,Online ONLINE,Lecture,OLA,3
['AE 227L - Eng Digital Computation Lab'],[''],Aerospace Engineering,Undergraduate,25,1,Anthony J Vizzini (P),12029,10:30 AM - 12:20 PM,R,8/19/2024-12/12/2024,Main Campus John Bardo Center 255,Lab,TCI,0
['AE 281I - Noncredit Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Aerospace Engineering,Undergraduate,35,0,Suresh Raju Keshavanarayana (P),12531,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Experiential,CPI,0
['AE 324 - Fund of Atmospheric Flight'],"['Studies the atmosphere, aircraft and aerodynamic nomenclature. Introduces aerodynamic theory, airfoils, wings, aircraft performance, stability and control, and propulsion. Prerequisite(s): AE 223 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course). Pre- or corequisite(s): AE 227.']",Aerospace Engineering,Undergraduate,60,10,James E Steck (P),15170,09:30 AM - 10:20 AM,MWF,8/19/2024-12/12/2024,Main Campus Wallace Hall 123,Lecture,TCI,3
['AE 333 - Mechanics of Materials'],"['Studies the mechanical properties of materials, transformation of stresses and strains, stresses and deformations in structural elements of various shapes and loading, statically indeterminate structures, and buckling. APEN 312 does not meet the prerequisite for this course. Prerequisite(s): AE 223 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course). Pre- or corequisite(s): MATH 344 or MATH 451 or MATH 555.']",Aerospace Engineering,Undergraduate,35,5,Syed Javed Raza (P),12030,11:00 AM - 12:15 PM,MW,8/19/2024-12/12/2024,Main Campus Wallace Hall 210,Lecture,TCI,3
['AE 373 - Dynamics'],"['Studies the kinematics and kinetics of particles and rigid bodies. Includes force-mass-acceleration, work-energy and impulse-momentum methods. Prerequisite(s): AE 223 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course), and MATH 344.']",Aerospace Engineering,Undergraduate,50,5,Alok Nath Menon (P),12032,04:10 PM - 05:25 PM,TR,8/19/2024-12/12/2024,Main Campus Jabara Hall 104,Lecture,TCI,3
['AE 415 - Introduction to Space Dynamics'],"['Fundamentals of orbital mechanics and rigid body dynamics, two-body problems, orbital maneuvers and orbital determination, rigid body kinematics, and kinetics. Prerequisite(s): AE 227 and AE 373 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for AE 373). Pre- or corequisite(s): MATH 555.']",Aerospace Engineering,Undergraduate,91,10,Roy Y Myose (P),12033,09:30 AM - 10:45 AM,TR,8/19/2024-12/12/2024,Main Campus Woolsey Hall 110B,Lecture,TCI,3
['AE 424 - Aerodynamics I'],"['Studies the dynamics of incompressible potential flow, governing equations of motion in control volume form and differential form, rotation and vorticity, stream function and velocity potential, singularities and superposition, introduction to panel methods, various two-dimensional airfoil theories, finite wing theory, flow over axisymmetric bodies, application tools for aerodynamic design and analysis. Prerequisite(s): MATH 555, AE 324 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for these courses), and AE 373.']",Aerospace Engineering,Undergraduate,70,5,Vijay  Matheswaran (P),12034,12:30 PM - 01:45 PM,MW,8/19/2024-12/12/2024,Main Campus Wallace Hall 123,Lecture,TCI,3
['AE 481A - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Intended for students who are working full time on their co-op assignment and do not need to be enrolled in any other course. Student may be able to use this course as a technical elective, with department consultation and permission prior to enrollment. Repeatable for credit. Prerequisite(s): junior standing and approval by the appropriate faculty sponsor.""]",Aerospace Engineering,Undergraduate,35,0,Suresh Raju Keshavanarayana (P),12035,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Experiential,CPI,1
['AE 481I - Noncredit Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Aerospace Engineering,Undergraduate,37,0,Suresh Raju Keshavanarayana (P),12520,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Experiential,CPI,0
['AE 481N - Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Aerospace Engineering,Undergraduate,35,0,Suresh Raju Keshavanarayana (P),12872,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Experiential,CPI,1
['AE 481P - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Students must enroll concurrently in a minimum of 6 credit hours of coursework including this course in addition to a minimum of 20 hours per week at their co-op assignment. Student may be able to use this course as a technical elective, with department consultation and permission prior to enrollment. Repeatable for credit. Prerequisite(s): junior standing and approval by the appropriate faculty sponsor.""]",Aerospace Engineering,Undergraduate,35,0,Suresh Raju Keshavanarayana (P),12036,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Experiential,CPI,1
['AE 512 - Exper Methods in Aerospace'],"['Studies experimental methods and test planning, error analysis and propagation, model design, instrumentation and flow visualization. Uses electromechanical testing machines, subsonic and supersonic wind tunnels. Prerequisite(s): AE 333, 424. Pre- or corequisite(s): AE 524. Corequisite(s): AE 512L.']",Aerospace Engineering,Undergraduate and Graduate,24,5,Vijay  Matheswaran (P),12037,11:30 AM - 12:20 PM,M,8/19/2024-12/12/2024,Main Campus Wallace Hall 123,Lab,TCI,3
['AE 512L - Exp Methods in Aerospace Lab'],[''],Aerospace Engineering,Undergraduate and Graduate,24,0,Vijay  Matheswaran (P),12038,11:00 AM - 12:50 PM,TR,8/19/2024-12/12/2024,Main Campus R.D. Hubbard Hall 208,Lab,TCI,0
['AE 524 - Aerodynamics II'],"['Continues the discussion of potential flow from AE 424. Introduces energy equation, fundamental concepts of high speed flow, normal and oblique shock waves, Prandtl-Meyer flow, nozzles and diffusers, linearized high speed potential flow, airfoils and wings in subsonic and supersonic flow, Navier-Stokes equation, boundary layer flow, momentum integral approximation and various laminar and turbulent flow solutions, introduction to convective heat transfer. Prerequisite(s): AE 424.']",Aerospace Engineering,Undergraduate and Graduate,36,5,Klaus A Hoffmann (P),12039,02:00 PM - 03:15 PM,TR,8/19/2024-12/12/2024,Main Campus Wallace Hall 310,Lecture,TCI,3
['AE 525 - Flight Structures I'],"['Introduces the theory of elasticity, advanced mechanics of materials, and stress analysis of flight vehicle components. APEN 334 will not meet the prerequisite for this course. Prerequisite(s): AE 333 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course). Pre- or corequisite(s): MATH 555. Corequisite(s): AE 525L.']",Aerospace Engineering,Undergraduate and Graduate,100,5,Suresh Raju Keshavanarayana (P),12040,10:30 AM - 11:20 AM,MW,8/19/2024-12/12/2024,Main Campus R.D. Hubbard Hall 211,Lecture,TCI,3
['AE 525L - Flight Structures I Lab'],[''],Aerospace Engineering,Undergraduate and Graduate,100,5,Suresh Raju Keshavanarayana (P),12041,10:30 AM - 12:20 PM,F,8/19/2024-12/12/2024,Main Campus R.D. Hubbard Hall 209,Lab,TCI,0
['AE 528 - Aerospace Design I'],"['Methodology of flight vehicle design; mission objectives, regulations and standards; use of hand and computer methods for configuration development and component sizing, ethics, and liability in design. This course has a lab component. For undergraduate credit only.  Prerequisite(s): AE 424, AE 502, AE 514 and AE 525. Pre- or corequisite(s): PHIL 385 and either ECON 201 or ECON 202 or IME 255.']",Aerospace Engineering,Undergraduate and Graduate,75,5,Jielong  Cai (P),12042,02:00 PM - 03:50 PM,MW,8/19/2024-12/12/2024,Main Campus Woolsey Hall 322,Lab,TCI,4
['AE 607 - Flight Control Systems'],"['Classical design methods for stability and control augmentation and guidance systems specifically for aerospace vehicles, including block diagrams, root locus and frequency response. Sensors used in aerospace systems. Flying qualities and performance specifications for closed loop systems. Includes a review of the aircraft and spacecraft dynamic model derivation. Prerequisite(s): AE 514.']",Aerospace Engineering,Undergraduate and Graduate,70,5,Atri  Dutta (P),12043,09:30 AM - 10:45 AM,MW,8/19/2024-12/12/2024,Main Campus McKinley Hall 204,Lecture,TCI,3
['AE 690 - Independent Study'],['Arranged individual independent study in specialized areas of aerospace engineering under the supervision of a faculty member. Repeatable for credit. Prerequisite(s): consent of supervising faculty member.'],Aerospace Engineering,Undergraduate and Graduate,5,0,Nadia  Kianvashrad (P),13436,TBA,TBA,8/19/2024-12/12/2024,Main Campus,Lecture,CPI,3
['AE 703 - Rotor Aerodynamics'],"['Aerodynamics of rotors, including propellers, wind turbines and helicopters; momentum, blade element and potential flow analysis methods; helicopter dynamics, control and performance. Prerequisite(s): AE 424.']",Aerospace Engineering,Undergraduate and Graduate,33,0,Scott Andrew Randle (P),17349,05:35 PM - 06:50 PM,TR,8/19/2024-12/12/2024,Main Campus Jabara Hall 372,Lecture,TCI,3
['AE 711 - Intermediate Aerodynamics'],"['Studies potential flow equations of motion, singularity solutions, principles of superposition, conformal mapping, thin airfoil theory, finite wing theory, three-dimensional singularities, swept wing theory, delta wing theory, and introduces panel methods. Prerequisite(s): AE 424 or equivalent.']",Aerospace Engineering,Undergraduate and Graduate,33,0,Linda Kay Kliment (P),16448,04:10 PM - 05:25 PM,TR,8/19/2024-12/12/2024,Main Campus Neff Hall 211,Lecture,TCI,3
['AE 714 - Advanced Flight Dynamics I'],"['Detailed derivation of the linear and nonlinear equations of motion for aircraft. Aerodynamic and thrust force and moment models. Steady state flight and dynamic stability and control of aircraft.  Aircraft, FAR and MIL specs. Prerequisite(s): AE 514.']",Aerospace Engineering,Undergraduate and Graduate,33,0,James E Steck (P),12044,04:10 PM - 05:25 PM,TR,8/19/2024-12/12/2024,Main Campus Wallace Hall 210,Lecture,TCI,3
