Title,Description,Department,Levels,Class Quota,Waitlist Maximum,Instructor,CRN,Time,Days,Date,Where,Course Type,Method,Credit Hours
['AC 668 - Geopolitical Strategy in Cyber'],"[""Geopolitical strategy drives the actions of nation-states, and cyber is a large part of the engine, increasingly so with advances in technology and its interoperability with other instruments of power. From disinformation to satellite hacks to current use of artificial intelligence, the course examines how history has shaped the cyber strategy in regions of the world, what the current state of affairs are in selected countries, and what the future may hold in this ever changing dynamic. This course is for students who are a current or otherwise eligible SFS Scholar, residing or planning to reside within commuting distance of WSU, and a U.S. citizen due to NSA and CAE standards. Students who have a desire to work at some level of government in the U.S. may also be eligible to take this course. Prerequisite(s): instructor's consent.""]",School of Computing,Undergraduate and Graduate,10,0,Joseph M Jabara (P),26743,05:35 PM - 06:50 PM,TR,1/21/2025-5/15/2025,Main Campus Donald L. Beggs Hall B231,Lecture,TCI,3
['ACCT 210 - Financial Accounting'],['Studies accounting as a means of communicating financial information about the activities of business enterprises. Emphasizes concepts and principles underlying the measurement of income and financial position and how this information may be used to evaluate the progress of a firm. This is a Kansas Systemwide Transfer Course. Prerequisite(s): MATH 111 and BADM 162.'],Accounting,Undergraduate,80,20,Jeffrey J Quirin (P),20085,11:00 AM - 12:15 PM,TR,1/21/2025-5/15/2025,Main Campus Woolsey Hall 110B,Lecture,HYB1,3
['ACCT 220 - Managerial Accounting'],"[""Studies accounting in terms of management's information requirements. Emphasizes the use of accounting information to assist management in planning, analyzing and implementing business decisions and activities. This is a Kansas Systemwide Transfer Course. Prerequisite(s): ACCT 210, MATH 111 and BADM 162.""]",Accounting,Undergraduate,80,20,Christine Marie Porter (P),22830,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['ACCT 310 - Intermediate Financial Acct I'],"['In-depth study of the conceptual and technical aspects of financial accounting. Emphasizes recognition and measurement problems of income determination and balance sheet presentation. Covers asset accounting in depth. Prerequisite(s): completion of ACCT 210 with a minimum grade of B- (2.700), ACCT 220 with a minimum grade of C+ (2.300), MATH 111, MATH 144, BADM 162, ECON 201 and ECON 202.']",Accounting,Undergraduate,40,20,Patricia  O'Sullivan (P),24600,12:30 PM - 01:45 PM,TR,1/21/2025-5/15/2025,Main Campus Woolsey Hall 234,Lecture,HYB1,3
['ACCT 360 - Accounting Information Systems'],"['Studies accounting information systems, emphasizing the processing of financial transactions and the analysis of internal controls. Students with credit in ACCT 560 cannot take ACCT 360 for credit. Prerequisite(s): completion of ACCT 210 with a minimum grade of B- (2.700), ACCT 220 with a minimum grade of C+ (2.300), MATH 111, MATH 144, BADM 162, ECON 201 and ECON 202. Pre- or corequisite(s): ACCT 310.']",Accounting,Undergraduate,40,20,Liu  Yang (P),23199,11:00 AM - 01:30 PM,W,1/21/2025-5/15/2025,Main Campus Woolsey Hall 220,Lecture,TCI,3
['ACCT 410 - Intermediate Financial Acct II'],"[""Continuation of ACCT 310. Emphasizes liabilities and equity. A study of accounting practices and problems related to equities with an introduction to some of the financial accounting pronouncements of the Financial Accounting Standards Board concerning equity accounting. It covers the following topics: liabilities, income taxes, stockholders' equity, accounting changes, pensions, postretirement, leases, earnings per share and cash flow statement. Prerequisite(s): ACCT 310.""]",Accounting,Undergraduate,40,20,Michael B Flores (P),24602,09:30 AM - 10:45 AM,MW,1/21/2025-5/15/2025,Main Campus Woolsey Hall 334,Lecture,HYB1,3
['ACCT 420 - Cost Accounting'],['The use of accounting information to assist management in developing and identifying superior strategies to produce and sustain comparative and/or competitive advantages. Focuses on goal-congruent strategies and incentives.  Students with credit in ACCT 620 cannot take ACCT 420 for credit. Prerequisite(s):  ACCT 310.'],Accounting,Undergraduate,40,20,Patricia  O'Sullivan (P),24604,11:00 AM - 12:15 PM,TR,1/21/2025-5/15/2025,Main Campus Woolsey Hall 234,Lecture,HYB1,3
['ACCT 430 - Intro Federal Income Tax'],['Overview of the federal tax law and those laws specifically applicable to individuals and sole proprietors. Prerequisite(s): ACCT 310.'],Accounting,Undergraduate,40,20,Sina  Rahiminejad Ranjbar (P),21134,02:00 PM - 03:15 PM,MW,1/21/2025-5/15/2025,Main Campus Woolsey Hall 234,Lecture,HYB1,3
['ACCT 481 - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Repeatable for credit. Prerequisite(s): junior standing and 2.250 GPA.""]",Accounting,Undergraduate,10,0,Christine Marie Porter (P),24747,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Appointment Course,CPI,1
['ACCT 481N - Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Accounting,Undergraduate,10,0,Christine Marie Porter (P),24627,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Appointment Course,CPI,1
['ACCT 491 - Independent Study/Project'],"['Courses may be of two general types. The first consists of doing research, readings or other scholarly investigation in a subject area that is coordinated by a faculty member. The topic and scope would be mutually agreeable to the student and the faculty member. The second consists of doing a specific project for an organization, which might require the student to do research. The student may be embedded in an organization (either with or without pay) and under the direction of an organizational representative and a faculty member in order to accomplish a specific project. In either case, the course cannot be used to substitute for a regular departmental course. Repeatable for credit. Prerequisite(s): 2.750 GPA in accounting, junior standing, advanced standing, School of Accountancy consent.']",Accounting,Undergraduate,10,0,Christine Marie Porter (P),24746,TBA,TBA,1/25/2025-5/15/2025,Main Campus,Appointment Course,CPI,3
['ACCT 580 - Data Analytics for Accountants'],"[""Application-oriented study of data analytics as it pertains to accounting professionals. Emphasizes improving students' software, critical thinking and decision-making skills. Prerequisite(s): ACCT 360, ECON 231 and ECON 232.""]",Accounting,Undergraduate and Graduate,30,20,Atul  Rai (P),24630,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['ACCT 610 - Advanced Financial Accounting'],"['Examines accounting concepts and techniques related to consolidated statements, governmental and not-for-profit entities, and partnerships. Includes accounting for foreign currency, hedges, financial instruments and emerging issues in financial accounting and reporting. Prerequisite(s): ACCT 410 and junior standing.']",Accounting,Undergraduate and Graduate,40,20,Michael B Flores (P),24605,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['ACCT 630 - Taxation of Business Entities'],"['Studies the federal tax law as it applies to corporations, partnerships and other business entities. Examines the effect of taxation on business decisions. Prerequisite(s): ACCT 430 and junior standing.']",Accounting,Undergraduate and Graduate,30,20,TBA,21492,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['ACCT 640 - Principles of Auditing'],"[""Studies the auditor's attest function, emphasizing auditing standards and procedures, independence, legal responsibilities, codes of ethical conduct, and evaluation of accounting systems and internal control. Prerequisite(s): ACCT 410, ACCT 580 and junior standing.""]",Accounting,Undergraduate and Graduate,30,20,Laura Michelle Zellers (P),21903,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['ACCT 781 - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Repeatable for credit up to 3 hours. May not be used to fulfill degree requirements.""]",Accounting,Undergraduate and Graduate,10,0,Michael B Flores (P),24626,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Appointment Course,CPI,1
['ACCT 801 - Managerial Accounting'],"['Examines the use of accounting information to assist management in planning, analyzing, and implementing business decisions and activities. Focuses on strategic and operational performance analysis and evaluation. Not available for credit in the Master of Accountancy program. Prerequisite(s): graduate standing and MBA 800 or equivalent, or permission of the School of Accountancy.']",Accounting,Graduate,40,10,TBA,22006,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['ACCT 825 - Management Control Systems'],"[""Studies accounting in the context of management control systems. Focuses on how accounting interacts with management in achieving an organization's strategic and operational objectives. Emphasizes contemporary challenges in accounting, related to broadening the types of information captured, measured, and reported. Prerequisite(s): graduate standing and ACCT 620 or 801 (or equivalent), or permission of the School of Accountancy.""]",Accounting,Graduate,20,10,Michael B Flores (P),22402,07:05 PM - 09:45 PM,M,1/21/2025-5/15/2025,Main Campus Woolsey Hall 323,Lecture,HYB1,3
['ACCT 860 - Adv Data Analytics for Acct'],"['Incorporates the use of several software tools to do complex analysis of data sets to aid in decision making. The tools include: SQL, Power Query, Power BI, Tableau, IDEA, etc. The areas of tax, managerial, audit and financial statement analysis are explored using labs and cases. Prerequisite(s): graduate standing and ACCT 580 (or equivalent), or permission of the School of Accountancy.']",Accounting,Graduate,20,10,TBA,20087,07:05 PM - 09:45 PM,W,1/21/2025-5/15/2025,Main Campus Woolsey Hall 103,Lecture,TCI,3
['ACCT 891 - Directed Study in Accounting'],['Arranged individual directed study in specialized content areas under the supervision of a faculty member. Repeatable for up to 6 credit hours. Prerequisite(s): School of Accountancy consent.'],Accounting,Graduate,10,0,Michael B Flores (P),24995,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Appointment Course,CPI,3
['ACCT 892 - Internship in Accounting'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): 3.000 GPA in accounting, graduate standing, School of Accountancy consent.""]",Accounting,Graduate,10,0,Michael B Flores (P),24996,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Experiential,CPI,3
['AE 223 - Statics'],"['Studies the condition of equilibrium of rigid bodies under the action of forces. Rigid bodies include beams, trusses, frames and machines. Considers both two- and three-dimensional bodies. Also studies centroids, centers of gravity and moments of inertia. Prerequisite(s): PHYS 313. Pre- or corequisite(s): MATH 243.']",Aerospace Engineering,Undergraduate,40,5,Vijay  Matheswaran (P),20879,09:30 AM - 10:45 AM,MW,1/21/2025-5/15/2025,Main Campus Jardine Hall 310,Lecture,TCI,3
['AE 227 - Engr Digital Computation'],"['MATLAB and Visual-Basic programming; introduces linear algebra and matrix methods for engineers, selected numerical methods for approximating functions, solution of systems of equations, numerical integration, and numerical determination of the roots of polynomials. Prerequisite(s): MATH 242 with no grade lower than one that generates 2.000 or more credit points per credit hour. Pre- or corequisite(s): MATH 243. Corequisite(s): AE 227L.']",Aerospace Engineering,Undergraduate,90,2,Anthony J Vizzini (P),22916,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,3
['AE 227L - Eng Digital Computation Lab'],[''],Aerospace Engineering,Undergraduate,23,0,Anthony J Vizzini (P),21734,08:30 AM - 10:20 AM,R,1/21/2025-5/15/2025,Main Campus John Bardo Center 255,Lab,TCI,0
['AE 324 - Fund of Atmospheric Flight'],"['Studies the atmosphere, aircraft and aerodynamic nomenclature. Introduces aerodynamic theory, airfoils, wings, aircraft performance, stability and control, and propulsion. Prerequisite(s): AE 223 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course). Pre- or corequisite(s): AE 227.']",Aerospace Engineering,Undergraduate,70,5,TBA,23940,12:30 PM - 01:20 PM,MWF,1/21/2025-5/15/2025,Main Campus Wallace Hall 123,Lecture,TCI,3
['AE 333 - Mechanics of Materials'],"['Studies the mechanical properties of materials, transformation of stresses and strains, stresses and deformations in structural elements of various shapes and loading, statically indeterminate structures, and buckling. APEN 312 does not meet the prerequisite for this course. Prerequisite(s): AE 223 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course). Pre- or corequisite(s): MATH 344 or MATH 451 or MATH 555.']",Aerospace Engineering,Undergraduate,45,5,Roy Y Myose (P),20881,11:00 AM - 12:15 PM,TR,1/21/2025-5/15/2025,Main Campus Woolsey Hall 333,Lecture,TCI,3
['AE 373 - Dynamics'],"['Studies the kinematics and kinetics of particles and rigid bodies. Includes force-mass-acceleration, work-energy and impulse-momentum methods. Prerequisite(s): AE 223 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for this course), and MATH 344.']",Aerospace Engineering,Undergraduate,70,5,Alok Nath Menon (P),24625,04:10 PM - 05:25 PM,TR,1/21/2025-5/15/2025,Main Campus Wallace Hall 123,Lecture,TCI,3
['AE 424 - Aerodynamics I'],"['Studies the dynamics of incompressible potential flow, governing equations of motion in control volume form and differential form, rotation and vorticity, stream function and velocity potential, singularities and superposition, introduction to panel methods, various two-dimensional airfoil theories, finite wing theory, flow over axisymmetric bodies, application tools for aerodynamic design and analysis. Prerequisite(s): MATH 555, AE 324 (no grade lower than one that generates 2.000 or more credit points per credit hour will be accepted for these courses), and AE 373.']",Aerospace Engineering,Undergraduate,50,5,Linda Kay Kliment (P),21745,08:30 AM - 09:20 AM,MWF,1/21/2025-5/15/2025,Main Campus Jabara Hall 104,Lecture,TCI,3
['AE 481A - Cooperative Education'],"[""Academic program that expands a student's learning experiences through paid employment in a supervised educational work setting related to the student's major field of study or career focus. Intended for students who are working full time on their co-op assignment and do not need to be enrolled in any other course. Student may be able to use this course as a technical elective, with department consultation and permission prior to enrollment. Repeatable for credit. Prerequisite(s): junior standing and approval by the appropriate faculty sponsor.""]",Aerospace Engineering,Undergraduate,100,0,Suresh Raju Keshavanarayana (P),20883,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Experiential,CPI,1
['AE 481I - Noncredit Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Aerospace Engineering,Undergraduate,100,0,Suresh Raju Keshavanarayana (P),21799,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Experiential,CPI,0
['AE 481N - Internship'],"[""Complements and enhances the student's academic program by providing an opportunity to apply and acquire knowledge in a workplace environment as an intern. Prerequisite(s): departmental consent.""]",Aerospace Engineering,Undergraduate,100,0,Suresh Raju Keshavanarayana (P),22333,TBA,TBA,1/21/2025-5/15/2025,Main Campus,Experiential,CPI,1
['AE 502 - Aerospace Propulsion I'],"['Surveys aerospace propulsion methods. Production of thrust and consumption of fuel. Rocket performance analysis; liquid chemical and solid propellant rocket engines. Jet engine cycle analysis; turbojet, ramjet, turbofan and turboprop engines. Analyzes piston engines and propellers. Prerequisite(s): AE 227, 373, ME 398. Pre- or corequisite(s): AE 424.']",Aerospace Engineering,Undergraduate and Graduate,45,5,Syed Javed Raza (P),20888,11:00 AM - 12:15 PM,TR,1/21/2025-5/15/2025,Main Campus R.D. Hubbard Hall 219,Lecture,TCI,3
['AE 512 - Exper Methods in Aerospace'],"['Studies experimental methods and test planning, error analysis and propagation, model design, instrumentation and flow visualization. Uses electromechanical testing machines, subsonic and supersonic wind tunnels. Prerequisite(s): AE 333, 424. Pre- or corequisite(s): AE 524. Corequisite(s): AE 512L.']",Aerospace Engineering,Undergraduate and Graduate,36,10,Vijay  Matheswaran (P),24295,12:30 PM - 01:20 PM,W,1/21/2025-5/15/2025,Main Campus Neff Hall 210,Lab,TCI,3
['AE 512L - Exp Methods in Aerospace Lab'],[''],Aerospace Engineering,Undergraduate and Graduate,18,0,Vijay  Matheswaran (P),21692,11:30 AM - 01:20 PM,MF,1/21/2025-5/15/2025,Main Campus Engineering Building 122,Lab,TCI,0
['AE 514 - Flight Dynamics & Control'],"['Static stability and control of conventional aircraft and implications in aircraft design, six degrees of freedom, time dependent equations of motion and their linearized solutions. Consideration of stability versus maneuverability and the dynamic modes of motion of the aircraft. Prerequisite(s): AE 415. Pre- or corequisite(s): AE 424.']",Aerospace Engineering,Undergraduate and Graduate,95,5,James E Steck (P),20889,10:30 AM - 11:20 AM,MWF,1/21/2025-5/15/2025,Main Campus Jabara Hall 128,Lecture,TCI,3
['AE 524 - Aerodynamics II'],"['Continues the discussion of potential flow from AE 424. Introduces energy equation, fundamental concepts of high speed flow, normal and oblique shock waves, Prandtl-Meyer flow, nozzles and diffusers, linearized high speed potential flow, airfoils and wings in subsonic and supersonic flow, Navier-Stokes equation, boundary layer flow, momentum integral approximation and various laminar and turbulent flow solutions, introduction to convective heat transfer. Prerequisite(s): AE 424.']",Aerospace Engineering,Undergraduate and Graduate,75,5,Klaus A Hoffmann (P),21694,09:30 AM - 10:45 AM,TR,1/21/2025-5/15/2025,Main Campus Wallace Hall 123,Lecture,TCI,3
['AE 625 - Flight Structures II'],"['Strength analysis and design of flight vehicle components. Introduces energy methods and variational principles. Applies finite element method, including commercial finite element software, to the analysis of flight vehicle structures. Prerequisite(s): AE 525. Corequisite(s): AE 625L.']",Aerospace Engineering,Undergraduate and Graduate,47,5,Chihdar C Yang (P),21621,12:30 PM - 01:45 PM,TR,1/21/2025-5/15/2025,Main Campus Wallace Hall 123,Lecture,TCI,3
['AE 625L - Flight Structures II Lab'],[''],Aerospace Engineering,Undergraduate and Graduate,22,0,TBA,21545,03:35 PM - 05:25 PM,R,1/21/2025-5/15/2025,Main Campus John Bardo Center 255,Lab,TCI,0
['AE 628 - Aerospace Design II'],"['Preliminary design of flight vehicles, design iteration, sensitivity studies, optimization, economic considerations and introduction to project management. This course has a lab component. For undergraduate credit only. Prerequisite(s): AE 528, PHIL 385 and either ECON 201 or ECON 202 or IME 255.']",Aerospace Engineering,Undergraduate and Graduate,75,5,Jielong  Cai (P),20890,02:00 PM - 03:50 PM,MW,1/21/2025-5/15/2025,Main Campus Woolsey Hall 225,Lab,TCI,4
['AE 707 - Mod Flight Control Sy Design I'],"[""Modern multi-loop design methods for stability and control augmentation and guidance systems, specifically for aerospace vehicles. State variable model. Optimal state feedback gains and Riccati's equation, tracking systems, sensors and actuator, discretization of continuous dynamic systems, optimal design for digital controls, and effect of nonlinearities and trim conditions on design considerations. Prerequisite(s): AE 514 or 714, and AE 607 or ECE 684 or ME 659.""]",Aerospace Engineering,Undergraduate and Graduate,33,0,Atri  Dutta (P),23935,05:35 PM - 06:50 PM,MW,1/21/2025-5/15/2025,Main Campus Wallace Hall 215,Lecture,TCI,3
['AE 716 - Compressible Fluid Flow'],"['Analyzes compressible fluid flow for one- and two-dimensional cases, unsteady wave motion, velocity potential equation, method of characteristics, linearized velocity potential equation, aerodynamic coefficients, approximate pressure calculation for hypersonic flows, Newtonian pressure, and chemically reacting flows. Prerequisite(s): AE 524.']",Aerospace Engineering,Undergraduate and Graduate,35,0,Klaus A Hoffmann (P),21192,04:10 PM - 05:25 PM,MW,1/21/2025-5/15/2025,Main Campus Wallace Hall 210,Lecture,TCI,3
['AE 737 - Mechanics of Damage Tolerance'],"['Introduces fatigue analysis and mechanics of damage tolerance emphasizing stress analysis oriented fracture mechanics. Includes stress intensity, fracture toughness, residual strength, fatigue crack growth rate, fatigue crack propagation, and damage tolerance concepts. Prerequisite(s): AE 525 or AE 733.']",Aerospace Engineering,Undergraduate and Graduate,30,5,TBA,20891,05:35 PM - 06:50 PM,MW,1/21/2025-5/15/2025,Main Campus Neff Hall 211,Lecture,TCI,3
['AE 743 - App Jet Propulsion Subsystems'],"[""In-depth study of jet engine components. Introduces engine component manufacturing, maintenance and repair issues. Prerequisite(s): AE 502 or instructor's consent.""]",Aerospace Engineering,Undergraduate and Graduate,35,0,Roy Y Myose (P),23379,04:10 PM - 05:25 PM,TR,1/21/2025-5/15/2025,Main Campus Wallace Hall 210,Lecture,TCI,3
['AE 759 - Neural Networks Model/Control'],"[""Introduces specific neural network architectures used for dynamic system modeling and intelligent control. Includes theory of feed-forward, recurrent, and Hopfield networks; applications in robotics, aircraft and vehicle guidance, chemical processes and optimal control. Prerequisite(s): AE 607 or ME 659 or ECE 684 or instructor's consent.""]",Aerospace Engineering,Undergraduate and Graduate,33,0,James E Steck (P),22920,04:10 PM - 05:25 PM,TR,1/21/2025-5/15/2025,Main Campus Wallace Hall 215,Lecture,TCI,3
['AE 762 - Airframe Analysis and Design'],"[""Covers the analysis and design methods for semi-monocoque airframe structures under combined bending, twisting, transverse shear and pressurization loads. Emphasis is on details such as taper, cut-outs, joints, shear lag, buckling, etc. Prerequisite(s): AE 525 or AE 733 or instructor's consent.""]",Aerospace Engineering,Undergraduate and Graduate,36,0,Suresh Raju Keshavanarayana (P),24619,04:10 PM - 05:25 PM,MW,1/21/2025-5/15/2025,Main Campus Wallace Hall 209,Lecture,TCI,3
['AE 765A - ST: CMfgT I'],"['Provides composite materials technologies basic knowledge, an overview of different forms of composites manufacturing, various factory workflows, and the associated regulatory guidance documents. For graduate students only. Repeatable for credit.']",Aerospace Engineering,Undergraduate and Graduate,20,0,Suresh Raju Keshavanarayana (P),22955,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,0.5
['AE 765B - ST: CMfgT II'],"['Educates students on the issues related to raw material manufacturing, its transport, incoming quality control and storage of composite materials. The preparation of tooling, cutting of composite preforms, layup and bagging of composite parts, and curing are discussed in detail. The use of procurement specifications and process control documents are emphasized. For graduate students only. Repeatable for credit. Prerequisite(s): AE 765A.']",Aerospace Engineering,Undergraduate and Graduate,20,0,Suresh Raju Keshavanarayana (P),22956,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,0.5
['AE 765C - ST: CMfgT III'],"['Topics include technical aspects related to trimming and drilling of composites, defects in composites, adhesive bonding and assembly, nondestructive and destructive inspection. For graduate students only. Repeatable for credit. Prerequisite(s): AE 765B.']",Aerospace Engineering,Graduate,20,0,Suresh Raju Keshavanarayana (P),22957,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,0.5
['AE 765D - ST: CMfgT IV'],"['Topics include technical aspects related to painting and finishing composites, handling and storage, manufacturing defects and their root causes analyses, and scarf repair of composites. For graduate students only. Repeatable for credit. Prerequisite(s): AE 765C.']",Aerospace Engineering,Undergraduate and Graduate,20,0,Suresh Raju Keshavanarayana (P),22958,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,0.5
['AE 765F - Comp Structural Engr Tech-0'],"['Provides students with background knowledge related to composite material applications, materials, processes, manufacturing, structural design, proof of structures, maintenance, aeroelastic issues, crashworthiness, fire safety and lightening protection. Course serves as a foundation course for the follow-on courses which elaborate on the aforementioned topics. Repeatable for credit. Prerequisite(s): instructor’s consent.']",Aerospace Engineering,Undergraduate and Graduate,20,0,Suresh Raju Keshavanarayana (P),24465,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,0.5
['AE 765G - Comp Structural Engr Tech-1'],['Provides a historical overview of composites usage in aircraft structures; discusses the key technical characteristics of composite structures; composites safety and certification initiatives by FAA; issues affecting cost of incorporating composites; role of standards organizations; some evolving composite technologies; evolution and objectives of integrated product teams. Repeatable for credit. Pre- or corequisite(s): AE 765F.'],Aerospace Engineering,Undergraduate and Graduate,20,0,Suresh Raju Keshavanarayana (P),24466,TBA,TBA,1/21/2025-5/15/2025,Online,Lecture,OLA,0.5
